2026-05-04 15:55:57 [main] INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 0 ms
2026-05-04 15:55:57 [main] INFO  c.e.C.StoreIntegrationTest - Started StoreIntegrationTest in 4.586 seconds (process running for 5.428)
2026-05-04 15:55:57 [main] WARN  o.s.w.s.h.HandlerMappingIntrospector - Cache miss for REQUEST dispatch to '/products' (previous null). Performing CorsConfiguration lookup. This is logged once only at WARN level, and every time at TRACE.
2026-05-04 15:55:58 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2026-05-04 15:55:58 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2026-05-04 15:55:58 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2026-05-04 19:10:42 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-05-04 19:10:42 [main] INFO  c.e.C.ComputerStoreApplicationTests - Starting ComputerStoreApplicationTests using Java 21.0.2 with PID 21604 (started by Admin in D:\ComputerStore\ComputerStore)
2026-05-04 19:10:42 [main] DEBUG c.e.C.ComputerStoreApplicationTests - Running with Spring Boot v3.2.0, Spring v6.1.1
2026-05-04 19:10:42 [main] INFO  c.e.C.ComputerStoreApplicationTests - The following 1 profile is active: "dev"
2026-05-04 19:10:44 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-05-04 19:10:44 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 104 ms. Found 11 JPA repository interfaces.
2026-05-04 19:10:45 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-05-04 19:10:45 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.3.1.Final
2026-05-04 19:10:45 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-05-04 19:10:45 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-05-04 19:10:45 [main] INFO  com.zaxxer.hikari.HikariDataSource - ComputerHikariCP - Starting...
2026-05-04 19:10:46 [main] INFO  com.zaxxer.hikari.pool.HikariPool - ComputerHikariCP - Added connection org.postgresql.jdbc.PgConnection@571d0925
2026-05-04 19:10:46 [main] INFO  com.zaxxer.hikari.HikariDataSource - ComputerHikariCP - Start completed.
2026-05-04 19:10:46 [main] WARN  org.hibernate.orm.deprecation - HHH90000025: PostgreSQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-05-04 19:10:48 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2026-05-04 19:10:48 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - SQL Warning Code: 0, SQLState: 00000
2026-05-04 19:10:48 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - constraint "uk_64t7ox312pqal3p7fg9o503c2" of relation "carts" does not exist, skipping
2026-05-04 19:10:48 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - SQL Warning Code: 0, SQLState: 00000
2026-05-04 19:10:48 [main] WARN  o.h.e.jdbc.spi.SqlExceptionHelper - constraint "uk_obh8c909a28dx3aqh4cbdhh25" of relation "wishlists" does not exist, skipping
2026-05-04 19:10:48 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2026-05-04 19:10:49 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2026-05-04 19:10:50 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@a47a011, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6441da2c, org.springframework.security.web.context.SecurityContextHolderFilter@7959fbe3, org.springframework.security.web.header.HeaderWriterFilter@586a9fe1, org.springframework.web.filter.CorsFilter@61b11d35, org.springframework.security.web.authentication.logout.LogoutFilter@30ae3c46, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6e43c01f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3dfe520, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@42516ce2, org.springframework.security.web.authentication.rememberme.RememberMeAuthenticationFilter@7c046af, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7c7d83ff, org.springframework.security.web.access.ExceptionTranslationFilter@1e8c9083, org.springframework.security.web.access.intercept.AuthorizationFilter@57fe6f2d]
